iter	Passed	Remaining
0	152	152608
1	158	78904
2	159	52917
3	160	39870
4	160	32019
5	161	26777
6	162	23068
7	163	20293
8	164	18101
9	165	16338
10	165	14896
11	167	13754
12	167	12734
13	169	11961
14	171	11258
15	172	10597
16	172	10000
17	173	9466
18	174	8986
19	174	8556
20	175	8173
21	176	7825
22	176	7502
23	177	7208
24	177	6937
25	178	6685
26	179	6451
27	179	6235
28	180	6033
29	180	5851
30	181	5684
31	182	5527
32	185	5423
33	186	5303
34	187	5168
35	188	5039
36	188	4915
37	189	4797
38	190	4685
39	191	4585
40	191	4490
41	192	4394
42	193	4302
43	193	4213
44	194	4126
45	196	4070
46	198	4023
47	199	3960
48	200	3888
49	200	3817
50	201	3750
51	202	3693
52	203	3635
53	204	3589
54	205	3532
55	206	3475
56	206	3420
57	207	3367
58	208	3319
59	209	3275
60	209	3227
61	211	3205
62	212	3167
63	213	3124
64	214	3082
65	214	3041
66	215	3000
67	216	2963
68	216	2925
69	217	2890
70	218	2856
71	219	2824
72	219	2791
73	220	2759
74	221	2727
75	221	2695
76	222	2664
77	223	2636
78	223	2609
79	225	2593
80	228	2590
81	228	2563
82	229	2533
83	229	2508
84	231	2488
85	231	2465
86	232	2440
87	233	2415
88	233	2392
89	234	2369
90	234	2346
91	235	2324
92	236	2302
93	236	2281
94	237	2264
95	238	2245
96	239	2225
97	240	2210
98	241	2196
99	242	2178
100	242	2161
101	243	2143
102	244	2126
103	244	2109
104	246	2098
105	247	2083
106	247	2067
107	248	2051
108	248	2035
109	249	2020
110	250	2006
111	251	1991
112	251	1976
113	252	1962
114	253	1948
115	254	1936
116	256	1933
117	257	1924
118	258	1911
119	258	1897
120	259	1884
121	259	1869
122	260	1856
123	261	1844
124	261	1832
125	262	1820
126	262	1807
127	263	1795
128	264	1783
129	264	1772
130	265	1760
131	266	1749
132	266	1738
133	267	1728
134	268	1717
135	268	1707
136	270	1707
137	272	1701
138	273	1691
139	273	1681
140	274	1671
141	274	1660
142	275	1650
143	276	1641
144	276	1632
145	277	1624
146	278	1618
147	279	1609
148	280	1600
149	280	1591
150	281	1581
151	281	1573
152	282	1564
153	283	1556
154	285	1556
155	286	1548
156	286	1540
157	287	1531
158	287	1522
159	288	1513
160	288	1503
161	289	1495
162	289	1486
163	290	1478
